ISO-3 code,Number of commercial banks,Branches of commercial banks,Number of Automated Teller Machines (ATMs),Outstanding deposits with commercial banks,Outstanding loans from commercial banks,"Number of commercial bank branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults",Outstanding deposits with commercial banks (% of GDP),Outstanding loans from commercial banks (% of GDP)
USA,4886,77453,0,1.19E+07,8943842,9.001336,31.23022,0,0,60.81927,45.90024
URY,11,288,2312,735187,436492,1.708376,11.02135,13.20992,85.22192,43.06621,25.56908
UZB,28,8891,5632,5.96E+07,1.11E+08,20.96615,38.23825,13.2393,24.14596,19.69303,36.5483
VUT,5,31,86,86508,60232,2.95324,19.6703,7.054963,46.99017,94.42429,65.74379
VEN,0,0,0,0,0,0,0,0,0,0,0
VNM,46,2463,17889,7.07E+09,6.32E+09,8.091721,3.447285,57.69342,24.57891,141.3005,126.3011
PSE,15,337,646,11246.27,6549.962,58.47176,13.07634,107.309,23.99805,77.57068,45.17807
YEM,0,0,0,0,0,0,0,0,0,0,0
ZMB,17,409,1066,53703,24266,0.5730505,4.577504,1.433971,11.45451,21.80817,9.854142
ZWE,18,443,563,8319,3707,1.191676,5.50743,1.455344,6.725993,36.46603,16.2495
